Chr	BIN_START	BIN_END	y
ChrX	130650001	130700000	0.888958
ChrX	130700001	130750000	0.855112
ChrX	130750001	130800000	0.805369
ChrX	130900001	130950000	0.807388
ChrX	131650001	131700000	0.826818
ChrX	132300001	132350000	0.826772
ChrX	132400001	132450000	0.892562
ChrX	132450001	132500000	0.825613
ChrX	132800001	132850000	0.818182
ChrX	132850001	132900000	0.876701
ChrX	132900001	132950000	0.852414
ChrX	132950001	133000000	0.93597
ChrX	133000001	133050000	0.992337
ChrX	133050001	133100000	0.987097
ChrX	133100001	133150000	0.937322
ChrX	133250001	133300000	0.804173
ChrX	133300001	133350000	0.93007
ChrX	143350001	143400000	0.801802
ChrX	143550001	143600000	0.818182
ChrX	147100001	147150000	0.847176
ChrX	147150001	147200000	0.884952
ChrX	147200001	147250000	0.931034
ChrX	147250001	147300000	0.895288
ChrX	147350001	147400000	0.924242
ChrX	147400001	147450000	0.869048
ChrX	147800001	147850000	0.816934
ChrX	147850001	147900000	0.815341
ChrX	147900001	147950000	0.849582
ChrX	147950001	148000000	0.91133
ChrX	148000001	148050000	0.849148
ChrX	148100001	148150000	0.847309
ChrX	148850001	148900000	0.894861
ChrX	149200001	149250000	0.89781
ChrX	149550001	149600000	0.835052
ChrX	149750001	149800000	0.853659
ChrX	150200001	150250000	0.862595
ChrX	150350001	150400000	Chr1
ChrX	150450001	150500000	0.927869
ChrX	150950001	151000000	0.861328
ChrX	151150001	151200000	0.851119
ChrX	151200001	151250000	0.850962
ChrX	151850001	151900000	0.834586
ChrX	151900001	151950000	0.827957
ChrX	152000001	152050000	0.946704
ChrX	152050001	152100000	0.808463
ChrX	152450001	152500000	0.808696
ChrX	152500001	152550000	0.853549
ChrX	152700001	152750000	0.88601
ChrX	152750001	152800000	0.892083
ChrX	152800001	152850000	0.839846
ChrX	152850001	152900000	0.868996
ChrX	152900001	152950000	0.831418
ChrX	152950001	153000000	0.849279
ChrX	153050001	153100000	0.837342
ChrX	153300001	153350000	0.816101
ChrX	153350001	153400000	0.877655
ChrX	153400001	153450000	0.892063
ChrX	153450001	153500000	0.881748
ChrX	153500001	153550000	0.921549
ChrX	153550001	153600000	0.826501
ChrX	153600001	153650000	0.877551
ChrX	153650001	153700000	0.85766
ChrX	153700001	153750000	0.883899
ChrX	153850001	153900000	0.852226
ChrX	153900001	153950000	0.89781
ChrX	154000001	154050000	0.883511
ChrX	154050001	154100000	0.925926
ChrX	154150001	154200000	0.884945
ChrX	154200001	154250000	0.953232
ChrX	154250001	154300000	0.903494
ChrX	154300001	154350000	0.861592
ChrX	154400001	154450000	0.851528
ChrX	154500001	154550000	0.950664
ChrX	154550001	154600000	0.864
ChrX	154600001	154650000	0.850746
ChrX	154650001	154700000	0.916667
ChrX	154700001	154750000	0.913793
ChrX	154800001	154850000	0.833333
ChrX	154900001	154950000	0.89781
ChrX	155000001	155050000	0.852632
ChrX	155050001	155100000	0.846154
ChrX	155100001	155150000	0.962264
ChrX	155150001	155200000	0.891784
ChrX	155250001	155300000	0.880126
